algorithm,community_id,size,year_start,year_end,span_years,temporal_entropy,num_eras,dominant_era,num_countries,geographic_entropy,dominant_country,country_dominance,pagerank_mean,pagerank_std,pagerank_cv,gini_pagerank
Infomap,26,31,1948,1952,4,0.9932338197397066,2,Guerra Fria (1950-1979),6,2.15378521641483,USA,0.45161290322580644,0.0008773588617635186,0.0006966514814251612,0.7940325353583026,0.3538735701209339
Infomap,27,14,1900,1900,0,0.0,1,Era Pioneira (1896-1919),3,1.1981174211304033,FRA,0.6428571428571429,0.0009148470787418813,0.0006029424656635958,0.6590636617573028,0.33157323762867486
Infomap,28,37,1992,2004,12,0.5713549744279548,2,Pós-Guerra Fria (1980-1999),6,2.363179615056203,USA,0.2972972972972973,0.0010731210130391722,0.0014169103028882383,1.3203639530600793,0.46980615294263117
Infomap,29,3,1908,1908,0,0.0,1,Era Pioneira (1896-1919),3,1.584962500721156,GER,0.3333333333333333,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Infomap,30,17,1976,1976,0,0.0,1,Guerra Fria (1950-1979),4,1.7345216647797514,USA,0.47058823529411764,0.0012074483417797253,0.0012113845371676973,1.0032599286046227,0.4578687922532192
Infomap,31,44,1992,2008,16,0.3591016256485496,2,Era Moderna (2000+),9,2.6499481955839457,USA,0.25,0.0009525210431601152,0.000800275212044453,0.8401653882516165,0.38659264599593146
Infomap,32,51,2000,2012,12,0.8739810481273579,1,Era Moderna (2000+),10,2.6329682875758174,USA,0.27450980392156865,0.000985811352400695,0.0011395012149272965,1.155901899640665,0.42762963279582356
Infomap,33,3,1952,1952,0,0.0,1,Guerra Fria (1950-1979),2,0.9182958340544894,USA,0.6666666666666666,0.0006805500487904642,0.0002597363335433769,0.38165647626505067,0.20568899595800816
Infomap,34,4,1904,1904,0,0.0,1,Era Pioneira (1896-1919),2,0.8112781244591328,GER,0.75,0.0006644455076797873,0.00040978120524682665,0.6167265795471528,0.28041242044031
Infomap,35,19,1952,1960,8,0.6292492238560347,1,Guerra Fria (1950-1979),5,2.0890038287775923,USA,0.3157894736842105,0.0009137723652710252,0.0008382786383207551,0.9173823483621343,0.39149473859413964
Infomap,36,19,1980,1988,8,0.0,1,Pós-Guerra Fria (1980-1999),4,1.8474201200521745,URS,0.42105263157894735,0.000809321499279472,0.0004628018971852789,0.5718393711242136,0.2901038275929495
Infomap,37,20,1968,1968,0,0.0,1,Guerra Fria (1950-1979),6,1.9804820237218406,USA,0.5,0.0010097009154006928,0.0008721743235573439,0.8637947240160989,0.39197220943475
Infomap,38,5,2000,2008,8,0.0,1,Era Moderna (2000+),2,0.9709505944546688,BRA,0.6,0.002036336251067967,0.0027779407443784326,1.3641856755835522,0.5940686175648313
Infomap,39,5,1984,1984,0,0.0,1,Pós-Guerra Fria (1980-1999),3,1.5219280948873626,USA,0.4,0.0010971464364047646,0.001340716302697498,1.222003060130138,0.50075915924312
Infomap,40,3,1948,1948,0,0.0,1,Entre Guerras (1920-1949),1,0.0,USA,1.0,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Infomap,41,6,2008,2012,4,0.9182958340544894,1,Era Moderna (2000+),5,2.251629167387823,CAN,0.3333333333333333,0.0007598944835273965,0.00037509570229922733,0.49361550903495144,0.2603807901672648
Infomap,42,3,1948,1948,0,0.0,1,Entre Guerras (1920-1949),2,0.9182958340544894,USA,0.6666666666666666,0.0006805500487904642,0.0002597363335433769,0.38165647626505067,0.20568899595800816
Infomap,43,11,1964,1964,0,0.0,1,Guerra Fria (1950-1979),4,1.617189572592715,USA,0.5454545454545454,0.0006808719604400427,0.000512005676845937,0.7519852580139023,0.2916463089699193
Infomap,44,3,1932,1936,4,0.0,1,Entre Guerras (1920-1949),2,0.9182958340544894,JPN,0.6666666666666666,0.0008020479619766165,0.0002462517317929604,0.3070286858981381,0.1640278736330203
Infomap,45,3,1952,1952,0,0.0,1,Guerra Fria (1950-1979),3,1.584962500721156,AUS,0.3333333333333333,0.0006367269874156968,0.00029016339050282183,0.45571084034071935,0.2278597464824199
Infomap,46,3,1924,1924,0,0.0,1,Entre Guerras (1920-1949),2,0.9182958340544894,USA,0.6666666666666666,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Infomap,47,3,2016,2016,0,0.0,1,Era Moderna (2000+),2,0.9182958340544894,ITA,0.6666666666666666,0.0007802077262611314,0.00043758273767958224,0.5608541455703626,0.28487190633668447
Infomap,48,3,1900,1900,0,0.0,1,Era Pioneira (1896-1919),2,0.9182958340544894,FRA,0.6666666666666666,0.0006367269874156968,0.00029016339050282183,0.45571084034071935,0.2278597464824199
Infomap,49,3,1984,1984,0,0.0,1,Pós-Guerra Fria (1980-1999),2,0.9182958340544894,USA,0.6666666666666666,0.0007644026908611933,0.00046995910009917726,0.6148056590037781,0.3011522438546579
Infomap,50,3,1896,1896,0,0.0,1,Era Pioneira (1896-1919),1,0.0,GRE,1.0,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Infomap,51,3,1992,1996,4,0.0,1,Pós-Guerra Fria (1980-1999),3,1.584962500721156,FRA,0.3333333333333333,0.0005271156379070964,0.00010616480392870903,0.2014070467539809,0.10926413720797146
Infomap,52,4,2000,2000,0,0.0,1,Era Moderna (2000+),3,1.5,ITA,0.5,0.0006954219340554745,0.0004733372761425029,0.680647608254393,0.3108195613882214
Infomap,53,5,1972,1976,4,0.0,1,Guerra Fria (1950-1979),3,1.370950594454669,USA,0.6,0.0006654229978962518,0.00015419259420946455,0.23172116788410912,0.11655123071427331
Infomap,54,3,1956,1956,0,0.0,1,Guerra Fria (1950-1979),2,0.9182958340544894,JPN,0.6666666666666666,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Infomap,55,3,2016,2016,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,GRE,0.3333333333333333,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Infomap,56,4,1996,2000,4,0.8112781244591328,2,Era Moderna (2000+),3,1.5,AUS,0.5,0.0008080467906587199,0.00038632010350313526,0.47809125408221353,0.25770943328075124
Infomap,57,3,2012,2012,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,HUN,0.3333333333333333,0.0007499378372284791,0.00044158268925105623,0.5888257230532586,0.2905820721605772
Infomap,58,6,1928,1936,8,0.6500224216483541,1,Entre Guerras (1920-1949),3,1.459147917027245,JPN,0.5,0.0007032805709805916,0.0003104310644542195,0.4414042947630163,0.2320622737429361
Infomap,59,3,1908,1908,0,0.0,1,Era Pioneira (1896-1919),2,0.9182958340544894,GBR,0.6666666666666666,0.0006839210535116002,0.00025824392452847034,0.37759317863153075,0.2041012378931002
Infomap,60,5,1932,1936,4,0.0,1,Entre Guerras (1920-1949),2,0.9709505944546688,JPN,0.6,0.0006149201305624449,0.00022017999108811924,0.3580627469241065,0.18953931388896472
Infomap,61,3,1956,1956,0,0.0,1,Guerra Fria (1950-1979),3,1.584962500721156,JPN,0.3333333333333333,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Infomap,62,3,1896,1896,0,0.0,1,Era Pioneira (1896-1919),2,0.9182958340544894,GRE,0.6666666666666666,0.0006839210535116002,0.00025824392452847034,0.37759317863153075,0.2041012378931002
Infomap,63,3,2021,2021,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,TUN,0.3333333333333333,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Infomap,64,3,2021,2021,0,0.0,1,Era Moderna (2000+),2,0.9182958340544894,USA,0.6666666666666666,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Infomap,65,48,2021,2021,0,0.0,1,Era Moderna (2000+),11,2.9907489620194876,USA,0.20833333333333334,0.0007340357209266899,0.0005072147860193463,0.6909946908019795,0.3105312324644727
Infomap,66,3,2021,2021,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,NED,0.3333333333333333,0.000576723183501381,0.00019167574899702752,0.33235311927870254,0.17313073588182615
Infomap,67,4,2021,2021,0,0.0,1,Era Moderna (2000+),4,2.0,USA,0.25,0.0006786654452803713,0.00039665832838470694,0.5844681369048321,0.26950989974473183
